City,Lat,Lon,Max Temp (f),Humidity,Cloudiness,Wind Speed,Country,Date
Barrow,71.2906,-156.7887,46.42,76,75,12.66,US,1655440622
Kiryat Gat,31.61,34.7642,77.81,100,0,7.92,IL,1655440848
Hobart,-42.8794,147.3294,52.27,87,99,1.99,AU,1655440642
Kumba,4.6363,9.4469,70.34,99,100,1.39,CM,1655440851
Bredasdorp,-34.5322,20.0403,50.23,45,64,6.08,ZA,1655440851
Karuzi Province,-3.125,30.1333,61.59,73,61,1.66,BI,1655440852
Esna,25.2934,32.554,82.42,36,1,20.4,EG,1655440853
Mānsa,29.9833,75.3833,99.05,33,3,7.61,IN,1655440854
Vila Velha,-20.3297,-40.2925,63.95,90,0,0.0,BR,1655440706
Puerto Ayora,-0.7393,-90.3518,70.56,95,79,4.0,EC,1655440614
Nadvoitsy,63.8667,34.3167,47.66,97,100,7.38,RU,1655440857
Hasaki,35.7333,140.8333,79.29,77,100,11.59,JP,1655440754
Atuona,-9.8,-139.0333,77.94,70,0,20.07,PF,1655440637
Bowen,-20.0167,148.2333,74.37,65,33,16.42,AU,1655440859
Yellowknife,62.456,-114.3525,57.72,54,20,9.22,CA,1655440860
Busselton,-33.65,115.3333,65.88,80,6,24.65,AU,1655440638
Cayenne,4.9333,-52.3333,74.08,1,0,2.3,GF,1655440861
Falmouth,50.1544,-5.0711,65.3,88,78,6.91,GB,1655440651
Cairns,-16.9167,145.7667,78.75,61,100,12.66,AU,1655440827
Caravelas,-17.7125,-39.2481,67.5,81,0,3.02,BR,1655440864
Shingū,33.7333,135.9833,81.81,58,100,6.93,JP,1655440865
Kargil,34.5667,76.1,55.36,42,98,2.84,IN,1655440866
Tiksi,71.6872,128.8694,34.86,77,15,7.2,RU,1655440660
Cape Town,-33.9258,18.4232,59.41,57,0,13.8,ZA,1655440621
Qandala,11.472,49.8728,92.59,45,99,5.06,SO,1655440868
Tilichiki,60.4667,166.1,47.34,72,100,12.33,RU,1655440869
Coahuayana Viejo,18.7333,-103.6833,77.68,82,99,6.38,MX,1655440869
Constitución,-35.3333,-72.4167,47.64,83,48,7.0,CL,1655440870
